AUGUSTINIAN CANONS

Anglesey	 		A1	List of books, 1314
London, hospital of St Bartholomew		SH25	Inventory of goods, 3 May 1546
London, hospital of St Bartholomew		SH26	Memorandum about books bought, 2 September 1533
London, hospital of St Bartholomew		SH27	Inventory of goods, 7 November 1558
London, hospital of St Giles			SH28	Inventory of goods, 7 June 1371
London, hospital of St Giles			SH29	List of books removed, 11 September 1391
London, hospital of St Katherine		SH30	Bequest by John Ricard, 14 December 1448
London, hospital of St Katherine		SH31	Inventory of goods, 2 March 1545/6
London, hospital of St Mary Elsing		SH32	Bequest of John Brian, 18 May 1361
London, hospital of St Mary Elsing		SH33	Inventory of books, 7 October 1448
London, hospital of St Mary Elsing		SH34 	List of goods restored to prior, 1536
London, hospital of St Mary of Bethlehem	SH35	Inventory of goods, 6 March × 12 May 1403
London, hospital of St Thomas of Acre	SH36	Bequest by John Overton, 1 May 1507
London bridge chapel				SH37	Inventory of chapel goods, 4 November 1350
London, Court of Arches				SH38	Bequest by Thomas Kent, 19 January 1468/9
London, Inns of Court				null	Note on libraries
London, Gray's Inn				SH39	Bequest by Edmund Pickering, 26 November 1488
London, Gray's Inn				SH40	List of books in the chapel, 8 November 1552
London, Lincoln's Inn				SH41	List of books in the treasury, 1 November 1512
London, Lincoln's Inn				SH42	List of books in the treasury, 1 November 1514
London, Lincoln's Inn				SH43	List of books purchased for the chapel, 1547–8
London, Lincoln's Inn				SH44	List of books purchased for the chapel, 1554–5
London, Inner Temple				SH45	Bequest by Thomas Jakes, 20 January 1512/13
London, Middle Temple				null	Note on library
London, Guildhall					SH46	Bequest by Andrew Horn, 9 October 1328
London, Guildhall					SH47	List of books, c. 1470
London, Guildhall library			SH48	Bequest by Hugh Damlett, 6 July 1475
London, Guildhall library			SH49	Bequest by John Graunte, 2 March 1516/17
London, Barber-Surgeons' Co.			SH50	Bequest by Thomas Colard, 14 October 1481
London, College of Physicians			null	Note on library
London, Clarenceux King of Arms		SH51	Bequest by Thomas Benolt, 30 June 1534
London, Chancery of Duchy of Lancaster	SH52	Bequest by John Scarle, 22 April 1403
London, Mercers					null	Note on library
Manchester grammar school			null	Note on library
Newcastle-upon-Tyne, hospital of St Mary	SH53	Inventory of goods, 10 November 1444
Norwich, St Giles					SH54	Bequest by John Smith, 11 June 1489
Norwich, St Giles					SH55	List of expenditure on books, 1512–13
Norwich, hospital of St Mary Magdalen	SH56	Inventory of goods, 1368
Norwich town library				SH57	Bequest by Bishop James Goldwell, 15 June 1497
Pontefract almshouse				SH58	Inventory of goods, 15 November 1432
Ripon, hospital of St John the Baptist	SH59	Inventory of goods, 6 September 1370
Ripon, hospital of St Mary Magdalen		SH60	Inventory of goods, 9 March 1336
Rochester cathedral			 	SH61	Books given to cathedral by Bishop Haimo Hethe, 1346
Rochester bridge chapel				null	Note on library
Rome, English hospital				SH62	Inventory of goods, 1 October 1496
Rome, English hospital				SH63	List of donations, November 1498
Rome, English hospital				SH64	Inventory of goods, before 30 March 1501
Rome, English hospital				SH65	Inventory of goods, 1502–3
Rome, English hospital				SH66	Inventory of goods, 6 November 1506
Rome, English hospital				SH67	List of donations and goods, 9 February 1525
Rome, English hospital				SH68	Inventory of goods, 16 May 1525
Rome, English hospital				SH69	Inventory of goods, 26 April 1538
Rome, English hospital				SH70	Inventory of goods, 27 January 1561
Rome, English hospital				SH71	Inventory of goods, 4 May 1562
Rome, English hospital				SH72	Inventory of goods, 1 May 1563
Rome, English hospital				SH73	Inventory of goods, 4 May 1564
Rome, English hospital				SH74	Inventory of goods, 4 May 1565
Rome, English hospital				SH75	Inventory of goods, 4 May 1566
Rome, English hospital				SH76	Inventory of goods, 4 May 1567
Rome, English hospital				SH77	Inventory of goods, 4 May 1568
Rome, English hospital				SH78	Inventory of goods, 4 May 1569
Rome, English hospital				SH79	Inventory of goods, 4 May 1570
Rome, English hospital				SH80	Inventory of goods, 4 May 1571
Rome, English hospital				SH81	Inventory of goods, 4 May 1572
Rome, English hospital				SH82	Inventory of goods, 4 May 1573
Rome, English hospital				SH83	Inventory of goods, 21 May 1574
Rome, English hospital				SH84	Inventory of goods, 21 May 1575
Rome, English hospital				SH85	Inventory of goods, 26 May 1576
Rome, English hospital				SH86	Inventory of goods, 26 August 1577
Rome, English hospital				SH87	Inventory of goods, 17 May 1578
Saffron Walden almshouse			SH88	List of chained books, 5 August 1400
Salisbury hospital				SH89	Inventory of goods, 20 December 1418
Salisbury hospital				SH90	Inventory of goods, 1436
Sandwich hospital					SH91	Inventory of goods, 28 March 1490
Sandwich hospital					SH92	Inventory of chapel goods, 15 December 1494
Sandwich hospital					SH93	Inventory of goods, 16 April 1496
Sandwich hospital					SH94	Inventory of goods, 21 January 1501/2
Sandwich hospital					SH95	Inventory of goods, 29 May 1525	
Sedbergh grammar school				null	Note on library
Sevenoaks, hospitak				SH96	Inventory of goods, 30 March 1313
Sherburn, hospital				SH97	Bequest by Martin of St Cross, 1 November 1259
Sherburn, hospital				SH98	Bequest by Lionel Jackson, 15 October 1514
Southampton, Domus Dei				SH99	Inventory of goods, 1289 × 1291
Southampton, Domus Dei				SH100	Inventory of goods, 29 September 1362
Southampton, Domus Dei				SH101	Inventory of goods, 24 June 1415
Southampton, Domus Dei				SH102	Inventory of goods, 24 June 1417
Southampton, Domus Dei				SH103	Inventory of goods, 24 June 1419
Southwold, townsmen				SH104	Bequest by Robert Scolys, 6 June 1470
Stamford,Browne's Hospital			SH105	Account, Michaelmas 1501–Michaelmas 1502
Stamford, St Giles				SH106	Inventory of goods, 20 July 1265
Stamford, hospital of St Thomas & St John	SH107	Inventory of goods, 20 July 1265
Stratford-upon-Avon, guild of Holy Cross	SH108	Inventory of goods, 12 July 1454
Stratford-upon-Avon, guild of Holy Cross	SH109	Inventory of goods, 20 July 1458
Stratford-upon-Avon, guild of Holy Cross	SH110	Inventory of goods, 26 July 1456
Thetford, hospital				SH111	Inventory of goods, 1368
Wainfleet grammar sch				SH112	Bequest by Richard Ranson, 7 January 1549
Wakefield bridge chap				SH113	Inventory of goods, 12 August 1498
West Somerton hospital				SH114	List of books removed, 24 October 1297
Westminster, hospital				SH115	Bequest by Henry Bost, 25 November 1503
Whitkirk hospital and school			null	Note on library
Winchester, Holy Cross				SH116	Bequest by Henricus de Segusio, 29 October 1271
Winchester, Holy Cross				SH117	Inventory of goods, 28 March 1368
Winchester, Holy Cross				SH118	Inventory of goods, 4 April 1383
Winchester, Holy Cross				SH119	Inventory of goods, c. 1406
Winchester, St John the Baptist		SH120	Inventory of goods, 1441–2
Winchester, St Mary Madgalen			SH121	Inventory of goods, c. 1400
Worcester town library				SH122	Bequest by Robert Inkberrow, 7 December 1503
Wotton-under-Edge, school			null	Note on library
Writtle hospital					SH123	Inventory of goods, 1 March 1343/4
York, hospital of Christ and St Mary	SH124	Bequest of William Otteley, 17 June 1432
York, hospital of Christ and St Mary	SH125	Inventory of goods, mid 16th cent.
York, St Leonard					SH126	Record of inquisition, 9 September 1364
York, St Leonard					SH127	Bequest by John de Stokeslay, 10 August 1400
York, St Leonard					SH128	Bequest by John Maltster, 28 April 1427
York, St Leonard					SH129	Bequest by Robert Alne, 24 December 1440
York, St Leonard					SH130	Bequest by John Warrand, 17 December 1445
York, St Thomas					SH131	Inventory of goods, 21 June 1416
York, St Thomas					SH132	Inventory of goods, 23 November 1451
York, St Thomas					SH133	Inventory of goods, 22 October 1465
York bridge chapel				SH134	Bequest by Robert de Howm, 1 October 1433


UNIVERSITY AND COLLEGE LIBRARIES OF CAMBRIDGE	

University				UC1  	Indenture referring to books in the common chest, 1363
University				UC2	Register of benefactors, c. 1424–c. 1440
University				UC3	Register, 1473
University				UC4	References to books in the accounts, 1458-1541
University				UC5	Bidding prayer mentioning donors and gifts, c. 1510
University				UC6	Leland, c. 1535
University				UC7	Inventory for the Marian commissioners, 1557
Burden Hostel			UC8	List of canon and civil law books, 1529
Christ's College			UC9	Inventory of goods belonging to Godshouse, after 1451
Christ's College			UC10	Medieval donors in a register of donors, 1623
Clare College			UC11	Inventory, c. 1440
Clare College			UC12	List of benefactors, c. 1440
Clare College			UC13	References to book donations in the Acta, c. 1448–1505
Clare College			UC14	Inventory of unbound books, 1496
Clare College			UC15	Leland, c. 1535
Clare College			UC16	Inventory, 20 January 1556/7
Clare College			UC17	Inventory, 7 September 1560
Corpus Christi College		UC18	Inventory, c. 1376
Corpus Christi College		UC19	Thomas Markaunt's bequest, 1439
Corpus Christi College		UC20	John Tittleshall's bequest, 1458
Corpus Christi College		UC21	Electiones of Markaunt's & Tittleshall's books, c. 1458-1516
Corpus Christi College		UC22	Books granted by Peter Nobys, after July 1525
Corpus Christi College		UC23	Leland, c. 1535
Corpus Christi College		UC24	Books noted in the chapel by Matthew Parker, c. 1544
Corpus Christi College		UC25	Inventory, mid 16th cent.
Gonville and Caius College	UC26	Register of books borrowed, 1406–10
Gonville and Caius College    UC27	Leland, c. 1535
Jesus College			UC28	Leland, c. 1535
King's College			UC29	Inventory, c. 1457
King's College			UC30	Inventory for the Marian commissioners, 31 January 1557
King's Hall				UC31	Inventory, 1361-2
King's Hall				UC32	Books of civil law donated by Edward III, 20 January 1368
King's Hall				UC33	Register of books borrowed, 1386/7
King's Hall				UC34	Register of books borrowed, 1385 x 1388
King's Hall				UC35	Register of books borrowed, 1390--91
King's Hall				UC36	Catalogue, 1390/91
King's Hall				UC37	Register of books borrowed, 1391/3
King's Hall				UC38	Other borrowing records in the accounts, 1392--1422
King's Hall				UC39	Books granted by Henry VI, 2 July 1440
King's Hall				UC40	References to books in the accounts, 1393--1512
King's Hall				UC41	Leland, c. 1535
Michaelhouse			null	Note on library and donors
Pembroke College			UC42	List of philosophy books, 15th cent.
Pembroke College			UC43	List of benefactors, c. 1490
Pembroke College			UC44	Leland, c. 1535
Pembroke College			UC45	Inventory for the Marian commissioners, 1557
Pembroke College			UC46	References to books in the accounts, noted 1617
Pembroke College			UC47	List of benefactors, compiled 1617
Peterhouse				UC48	Catalogue, 24 Dec. 1418
Peterhouse				UC49	Leland, c. 1535
Queens' College			UC50	Inventory, 1472
Queens' College			UC51	References to books in the accounts, 1484--1535
Queens' College			UC52	Leland, c. 1535
St Catharine's College		UC53	List of benefactors, 1504 x 1522
St John's College			UC54	Inventory, c. 1516
St John's College			UC55	Inventory, 23 September 1544
St John's College			UC56	Inventory for the Marian commissioners, '12 January 1557'
Trinity Hall			UC57	Books granted by the founder, 1 June 1352
Trinity Hall			UC58	Memorandum counting law books, 9 October 1381
Trinity Hall			UC59	Leland, c. 1535
Trinity Hall			UC60	Inventory for the Marian commissioners, 22 January 1556/7
Donor documents			UC101	Will of Robert Alne, 24 Dec 1440; University
Donor documents			UC102	Gift of Thomas Anlaby, after 1431; Pembroke Hall
Donor documents			UC103	Will of Richard Atkynson, 23 July 1556; King's College
Donor documents			UC104	Will of Robert Ayscough, 2 Sept 1444; Michaelhouse
Donor documents			UC105	Will of Robert Barker, 18 Sept 1504; various
Donor documents			UC106	Will of Robert Battersby, 3 Oct 1502; University
Donor documents			UC107	Bequest of John Beverley, 1473; Gonville
Donor documents			UC108	Will of William Boston, 5 Jan 1473; King's College
Donor documents			UC109	Will of Richard Brocher, 31 May 1487; Corpus Christi
Donor documents			UC110	Books purchased from Henry Bullock, c. 1526; Queens' 
Donor documents			UC111	Will of Elizabeth de Burgh, 25 September 1355; Clare Hall
Donor documents			UC112	Will of William Bylby de Sutton, 12 March 1452; University
Donor documents			UC113	Record of book given by William Carlell, before 1498; Michaelhouse
Donor documents			UC114	Will of Geoffrey Champeneys, 12 March 1472; various
Donor documents			UC115	Will of Thomas Colyer, 1506; various
Donor documents			UC116	Will of Walter Crome, 5 August 1452; University
Donor documents			UC117	Will of William Crosse, 12 August 1434; Corpus Christi
Donor documents			UC118	Will of Henry Crossley, January 1526; various
Donor documents			UC119	Will of Hugh Damlett, 6 July 1475; various
Donor documents			UC120	Will of George Day, 28 July 1556; various
Donor documents			UC121	Will of John de Donewich, 6 April 1392; Clare Hall
Donor documents			UC122	Will of Richard Dunmow, 15 June 1414; Pembroke Hall
Donor documents			UC123	Will of John Fabe, 10 August 1504; Godshouse
Donor documents			UC124	Will of Thomas Fissher, 10 December, 1464; University
Donor documents			UC125	Will of Robert Fitzhugh, 15 June 1434; University
Donor documents			UC126	Will of Nicholas Gay, 19 June 1474; Peterhouse
Donor documents			UC127	Will of William Gedge, 2 October 1500; Peterhouse
Donor documents			UC128	Will of John Geffray, 31 October 1479; King's
Donor documents			UC129	Will of John Gilpin, 27 December 1530; Jesus
Donor documents			UC130	Will of William Hasilbeck, 8 August 1504; Jesus
Donor documents			UC131	Will of Richard Hatton, 23 May 1509; King's College
Donor documents			UC132	Will of Robert Hayles, 31 May 1497; Gonville Hall
Donor documents			UC133	Will of John Hesewell, 25 October 1500; King's College
Donor documents			UC134	Record of books purchased by Richard Holme, 1406; King's Hall
Donor documents			UC135	Will of Henry Hornby, 10 December 1517; various
Donor documents			UC136	Will of William Hunden, 27 January 1416; University
Donor documents			UC137	Will of John Hurt, 14 September 1476; various
Donor documents			UC138	Will of Robert Knyght, 2 January 1504; St William's Hostel
Donor documents			UC139	Will of Bryan Kydall, 1502; various
Donor documents			UC140	Will of William Lambert, 27 November 1521; Pembroke Hall
Donor documents			UC141	Will of Thomas Langley, 21 December 1436; University
Donor documents			UC142	Will of John Lenne, 22 September 1375; Clare Hall
Donor documents			UC143	Will of Thomas de Lexham, 31 October 1382; Clare Hall
Donor documents			UC144	Will of John Leystoft, 27 February 1462; Pembroke Hall
Donor documents			UC145	Will of John Lownde, 6 October 1505; Peterhouse
Donor documents			UC146	Will of William Lyndwood, 22 November 1443; University
Donor documents			UC147	Will of Lawrence Maptyt, 9 November 1557; various
Donor documents			UC148	Book donated by Richard Nelson, before 1512; Michaelhouse
Donor documents			UC149	Will of John Newton, 30 June 1414; Peterhouse
Donor documents			UC150	Record of gift of John Oteringham, before 1454; Michaelhouse
Donor documents			UC151	Will of John Plente, 9 May 1483; King's College
Donor documents			UC152	Will of Richard Poringland, 10 April 1471; Peterhouse
Donor documents			UC153	Will of John Proctor, 26 August 1510; Michaelhouse
Donor documents			UC154	Will of William Rightwise, 3 April 1502; Gonville Hall
Donor documents			UC155	Will of John Rowclyff, 1 July 1492; King's Hall
Donor documents			UC156	Will of John Sampson, 3 August 1517; King's College
Donor documents			UC157	Will of Robert Scolys, 6 June 1470; Clare Hall
Donor documents			UC158	Will of Stephen Scrope, 24 August 1418; Gonville Hall
Donor documents			UC159	Will of John Speyrhawke, 25 March 1472; various
Donor documents			UC160	Receipt of bequest of Hervey de Stanton, 20 March 1328; Michaelhouse
Donor documents			UC161	Book donated by Thomas Stoyle, 1485/6; University
Donor documents			UC162	Will of Roger de Sutton, 21 April 1371; Peterhouse
Donor documents			UC163	Will of John Syclyng, 24 September 1506; Christ's College
Donor documents			UC164	Will of John Thornhill, 22 May 1420; University
Donor documents			UC165	Will of Hugh Trotter, 31 August 1503; various
Donor documents			UC166	Will of William Waltham, 5 October 1416; King's Hall
Donor documents			UC167	Will of William Warmyster, 13 October 1457; King's College
Donor documents			UC168	Will of Thomas Wellys, 14 January 1476; various
Donor documents			UC169	Will of Robert de Weston, 3 March 1389; Trinity Hall
Donor documents			UC170	Will of Adam Wickmer, 4 October 1381; Trinity Hall
Donor documents			UC171	Will of Henry Wingefeld, 6 August 1500; Gonville Hall
Donor documents			UC172	Will of William Wodcoke, 7 March 1488; various
Donor documents			UC173	Will of William Woode, 6 April 1491; University
Donor documents			UC174	Book bequeathed by John Wortham, by 1447; Michaelhouse or King's Hall
Donor documents			UC175	Will of William Wyche, 1475; King's College

UNIVERSITY AND COLLEGE LIBRARIES OF OXFORD	

				

CISTERCIANS

Bealieu 			Z1 	Leland, c. 1536-40
Bordesley 			Z2 	Books given by earl of Warwick, 1306
Buckfast 			Z3 	Leland, c. 1536-40
Byland 			Z4 	Leland, c. 1536-40
Coggeshall 			Z5 	Leland, c. 1536-40
Dunkeswell 			Z6 	Leland, c. 1536-40
Flaxley 			Z7 	Catalogue, early 13th cent.
Ford 				Z8 	Leland, c. 1536-40
Fountains 			Z9 	Leland, c. 1536-40
Jervaulx 			Z10 	Leland, c. 1536-40
Kirkstead 			Z11 	Lincolnshire list, 1528
London 			Z12	Valuation of goods, 1430
Louth Park 			Z13	Lincolnshire list, 1528
Meaux 			Z14 	Inventory of books, 1396
Netley 			Z15 	Leland, c. 1536-40
Newenham 			Z16 	Books given by John Godard, 1246-8
Revesby 			Z17 	Leland, c. 1536-40
Revesby			Z18 	Lincolnshire list, 1528
Rievaulx 			Z19 	First catalogue, c.  1190-1200
Rievaulx			Z20 	Second catalogue, c.  1190-1200
Rievaulx			Z21 	Leland, c. 1536-40
Sawtry 			Z22 	Leland, c. 1536-40
Stoneleigh 			Z23 	Inventory of goods, 1386
Stratford Langthorne 	Z24 	Leland, c. 1536-40
Swine 			Z25 	Books given by Peter, late 14th or early 15th cent.
Warden 			Z26 	Leland, c. 1536-40
Waverley 			Z27 	Leland, c. 1536-40


UNIDENTIFIED LIBRARIES

Cambridge, Trinity College, O. 1. 59		Q1 	List of books, 12th cent.
London, British Library, Royal 6 A. XIII 		Q2 	List of books, 12th cent.
London, British Library, Royal 15 A. XXXI 	Q3 	List of books, 14th cent.  Probably books belonging to a schoolmaster? The only item legible is a copy of Juvenal.
London, British Library, Royal 15 B. II 		Q4 	List of books, late 12th cent.  The Royal Library catalogue assigned this to Bury St Edmunds, but it is not a Bury book (see note on B13. 49).
London, British Library, Royal 15 D. II		Q5 	List of books in English, 15th cent.  Books belonging to Cicely Welles, daughter of Edward IV (edn in prep by Mary Hamel).
London, British Library, Sloane 3548 fol. 158 	Q6 	List of books.  Perhaps a Carthusian list?
Oxford, Bodleian Library,  Rawlinson C. 440 	Q7 	Calendar citing hagiographical texts from manuscripts in a Cistercian library, perhaps Fountains


ADDITIONAL DOCUMENTS

Buildwas 			X1 	(Z3a) Note on books perhaps given to Buildwas, c. 1160
Croxden 			X2 	(Z5a) Purchase of a bible in nine volumes, 1269 x 1274
Hoxne				X-	(B-) Booklist, 1395/6
Hyde 				X- 	(B-) Note on book by William Worcestre
Lynne				X-	(B-) Inventory of books, 1454
Saffron Walden 		X- 	(B83a) Note on book by William Worcestre
Warden 			X- 	(Z25a) Visitation record, 26 September 1492


NEW FRIARS

Aylesford-Carmelite 	F1 	Part of catalogue, 1381
Boston-Austin 		F2 	Lincolnshire list, 1528
Boston-Carmelite 		F3 	Lincolnshire list, 1528
Boston-Dominican 		F4 	Lincolnshire list, 1528
Boston-Franciscan 	F5 	Lincolnshire list, 1528
Cambridge-Austin 		F6 	Leland, c. 1536-1440
Cambridge-Dominican 	F7 	Leland, c. 1536-40
Cambridge-Franciscan 	F8	Leland, c. 1536-40
Clare-Austin 		F9 	Receipts for books borrowed (1299-1339)
Exeter-Dominican 		F10 	Leland, c. 1536-40
Exeter-Franciscans 	F11 	Deed of deposit of books, 1266
Grimsby-Austin 		F12 	Lincolnshire list, 1528
Grimsby-Franciscan 	F13 	Lincolnshire list, 1528
Guildford-Dominican 	F14 	Leland, c. 1536-40
Hulne-Carmelite 		F15 	Catlogue, 1366
Hulne-Carmelite		F16 	Catalogue, 1433
Ipswich-Franciscan 	F17 	List of donors of books, 14th cent.
King's Lynn-Carmelite 	F18 	Books bequeathed by Thomas Lexham, 1382
King's Lynn-Dominican 	F19 	Books bequeathed by Thomas Lexham, 1382
Lincoln-Austin 		F20 	Lincolnshire list, 1528
Lincoln-Carmelite 	F21 	Lincolnshire list, 1528
Lincoln-Dominican 	F22 	Lincolnshire list, 1528
Lincoln-Franciscan 	F23 	Lincolnshire list, 1528
London-Austin 		F24 	Leland, c. 1536-40
London-Carmelite 		F25 	Leland, c. 1536-40
London-Carmelite		F26 	Anonymus Reginensis, early 16th cent.
London-Dominican 		F27 	Bale's extracts from catalogue of 1339, 16th cent.
London-Dominican		F28 	Leland, c. 1536-40
London-Franciscan 	F29 	Memorandum on foundation of library, 1421
London-Franciscan		F30 	Leland, c. 1536-40
London-Franciscan		F31 	Anonymus Reginensis, 16th cent.
Norwich-Carmelite 	F32 	Leland, c. 1536-40
Norwich-Dominican 	F33 	Leland, c. 1536-40
Norwich-Franciscan 	F34 	Leland, c. 1536-40
Oxford-Austin 		F35 	Books noted by Thomas Gascoigne, c. 1430
Oxford-Carmelite 		F36 	Leland, c. 1536-40
Oxford-Dominican 		F37 	Books noted by Thomas Gascoigne, early 15th cent.
Oxford-Dominican		F38 	Leland, c. 1536-40
Oxford-Dominican		F39 	Anonymus Reginensis, early 16th cent.
Oxford-Franciscan 	F40 	Leland, c. 1536-40
Reading-Franciscan 	F41 	Leland, c. 1536-40
Reading-Franciscan	F42 	Anonymus Reginensis, 16th cent.
Richmond-Observant 	F43 	Extract from will of Thomas Collier, 1506
Salisbury-Dominican 	F44 	Leland, c. 1536-40
Southampton-Franciscan 	F45 	Anonymus Reginensis, 16th cent.
Winchester-Dominican 	F46 	Anonymus Reginensis, 16th cent.
Winchester-Franciscan 	F47 	Anonymus Reginensis, 16th cent.
York-Austin 		F48 	Catalogue, 1372
